id,status_pred,prob
42861,0,0.0462
42862,0,0.0046
42863,0,0.0066
42864,1,0.9086
42865,1,0.7776
42866,0,0.3295
42867,0,0.1196
42868,1,0.8814
42869,0,0.0576
42870,0,0.0325
42871,1,0.8362
42872,0,0.1946
42873,0,0.173
42874,0,0.3664
42875,1,0.7645
42876,1,0.6234
42877,0,0.1003
42878,0,0.3992
42879,1,0.6365
42880,0,0.0188
42881,0,0.0053
42882,1,0.7624
42883,1,0.8644
42884,0,0.092
42885,1,0.7792
42886,1,0.9273
42887,0,0.1968
42888,0,0.3714
42889,1,0.7968
42890,1,0.7441
42891,0,0.2154
42892,0,0.2043
42893,0,0.0436
42894,0,0.0558
42895,0,0.22
42896,0,0.2395
42897,1,0.5943
42898,1,0.6408
42899,0,0.0754
42900,0,0.1276
42901,1,0.7581
42902,0,0.294
42903,1,0.6336
42904,0,0.3823
42905,0,0.0111
42906,0,0.1318
42907,0,0.462
42908,1,0.5478
42909,0,0.0998
42910,0,0.0093
42911,1,0.9371
42912,0,0.4291
42913,0,0.0553
42914,0,0.0482
42915,1,0.6573
42916,0,1e-04
42917,0,0.1102
42918,1,0.6013
42919,0,0.3467
42920,0,0.4133
42921,1,0.7947
42922,1,0.8691
42923,1,0.9736
42924,1,0.7961
42925,0,0.2813
42926,0,0.0056
42927,0,0.1401
42928,1,0.6062
42929,0,0.079
42930,1,0.7173
42931,1,0.6571
42932,1,0.8262
42933,0,0.0165
42934,1,0.9566
42935,0,0.4411
42936,1,0.9371
42937,1,0.8387
42938,1,0.9485
42939,0,0.0983
42940,0,0.2907
42941,1,0.5491
42942,0,0.0504
42943,1,0.786
42944,0,0.2889
42945,1,0.6126
42946,1,0.5034
42947,0,0.0889
42948,0,0.3602
42949,0,0.0744
42950,1,0.865
42951,0,0.1383
42952,0,0.1068
42953,1,0.8468
42954,0,0.3671
42955,1,0.8941
42956,0,0.0769
42957,0,0.4962
42958,0,0.0913
42959,0,0.1678
42960,0,0.031
42961,0,0.3774
42962,1,0.8878
42963,0,0.0974
42964,0,0.0086
42965,0,0.0178
42966,1,0.9337
42967,1,0.9076
42968,0,0.0022
42969,0,0.0505
42970,0,0.0103
42971,0,0.1713
42972,1,0.8968
42973,1,0.9048
42974,0,0.0308
42975,0,0.2198
42976,0,0.1164
42977,0,0.2474
42978,1,0.947
42979,0,0.1337
42980,1,0.8992
42981,0,0.1415
42982,0,0.3071
42983,0,0.0984
42984,0,0.1532
42985,1,0.7481
42986,1,0.6827
42987,1,0.9764
42988,0,0.0194
42989,0,0.4527
42990,1,0.7588
42991,0,0.073
42992,0,0.1249
42993,0,0.0799
42994,1,0.519
42995,1,0.7397
42996,0,0.1225
42997,1,0.6931
42998,1,0.8593
42999,1,0.9748
43000,1,0.5721
43001,0,0.0468
43002,1,0.7681
43003,1,0.9312
43004,1,0.7587
43005,0,0.3521
43006,1,0.7872
43007,0,0.3007
43008,0,0.2489
43009,0,0.1528
43010,0,0.4438
43011,0,0.265
43012,1,0.7189
43013,0,0.2462
43014,1,0.7187
43015,0,0.1893
43016,0,0.4644
43017,0,0.2416
43018,0,0.0234
43019,1,0.5018
43020,1,0.7973
43021,0,0.1425
43022,0,0.1861
43023,1,0.6053
43024,0,0.0437
43025,0,0.2891
43026,0,0.3421
43027,0,0.0407
43028,0,0.1218
43029,0,0.3449
43030,0,0.1408
43031,0,0.0081
43032,0,0.0129
43033,1,0.7708
43034,0,0.0586
43035,0,0.2948
43036,0,0.0256
43037,0,0.0388
43038,0,0.3866
43039,0,0.2683
43040,0,0.3463
43041,0,0.1741
43042,0,0.0008
43043,1,0.7463
43044,0,0.0314
43045,0,0.0602
43046,1,0.9334
43047,0,0.0563
43048,0,0.0948
43049,0,0.0834
43050,1,0.7018
43051,0,0.1297
43052,0,0.0156
43053,1,0.6415
43054,0,0.0192
43055,0,0.0862
43056,0,0.2462
43057,0,0.1098
43058,1,0.919
43059,1,0.9434
43060,0,0.0096
43061,0,0.0511
43062,1,0.6178
43063,1,0.683
43064,1,0.806
43065,0,0.2401
43066,0,0.1876
43067,0,0.0337
43068,1,0.8586
43069,0,0.02
43070,0,0.1537
43071,0,0.0003
43072,0,0.0011
43073,1,0.5282
43074,1,0.7215
43075,0,0.2592
43076,0,0.0138
43077,0,0.3137
43078,0,0.3161
43079,1,0.6945
43080,0,0.037
43081,0,0.1048
43082,1,0.5128
43083,0,0.0369
43084,0,0.0057
43085,0,0.0005
43086,0,0.0382
43087,1,0.6988
43088,0,0.3125
43089,1,0.8915
43090,1,0.8658
43091,1,0.9541
43092,0,0.0086
43093,1,0.9612
43094,0,0.1609
43095,0,0.0983
43096,0,0.4905
43097,0,0.0861
43098,1,0.5485
43099,1,0.9084
43100,0,0.2083
43101,0,0.4213
43102,1,0.553
43103,0,0.0025
43104,0,0.0204
43105,0,0.271
43106,0,0.2802
43107,1,0.5934
43108,0,0.0562
43109,0,0.335
43110,1,0.8596
43111,0,0.2802
43112,1,0.8891
43113,0,0.3048
43114,1,0.7445
43115,1,0.5278
43116,1,0.7655
43117,0,0.3166
43118,0,0.2123
43119,1,0.7232
43120,1,0.6748
43121,0,0.085
43122,0,0.4928
43123,1,0.8706
43124,1,0.8956
43125,1,0.7667
43126,0,0.3184
43127,0,0.3723
43128,1,0.9761
43129,1,0.7432
43130,0,0.2369
43131,1,0.5063
43132,0,0.236
43133,1,0.8627
43134,0,0.3361
43135,1,0.7455
43136,1,0.6056
43137,0,0.2154
43138,0,0.0308
43139,0,0.1275
43140,0,0.1826
43141,0,0.0861
43142,1,0.9339
43143,0,0.3046
43144,1,0.7952
43145,1,0.9418
43146,0,0.0536
43147,0,0.1047
43148,1,0.849
43149,0,0.0487
43150,1,0.7609
43151,0,0.0028
43152,0,0.0058
43153,0,0.1944
43154,0,0.1547
43155,0,0.1503
43156,0,0.0601
43157,0,0.0206
43158,1,0.8884
43159,0,0.1495
43160,1,0.9302
43161,0,0.0147
43162,1,0.6921
43163,0,0.0539
43164,0,0.0283
43165,1,0.7746
43166,0,0.0497
43167,0,0.0076
43168,0,0.0104
43169,1,0.6509
43170,0,0.1033
43171,1,0.8755
43172,1,0.975
43173,0,0.0619
43174,1,0.7249
43175,1,0.9396
43176,0,0.4595
43177,0,0.0583
43178,0,0.0308
43179,1,0.5924
43180,1,0.9612
43181,0,0.117
43182,1,0.981
43183,0,0.0027
43184,1,0.8772
43185,1,0.9215
43186,0,1e-04
43187,1,0.5449
43188,0,0.3463
43189,0,0.0022
43190,0,0.2107
43191,0,0.4753
43192,1,0.6728
43193,0,0.1383
43194,0,0.3497
43195,0,0.1669
43196,1,0.7166
43197,0,0.4445
43198,1,0.9628
43199,0,0.0055
43200,0,0.4841
43201,1,0.514
43202,0,0.0352
43203,0,0.0392
43204,0,0.38
43205,0,0.1516
43206,1,0.6521
43207,0,0.0006
43208,1,0.9512
43209,0,0.2205
43210,0,0.1587
43211,0,0.1518
43212,1,0.6655
43213,0,0.3206
43214,0,0.1066
43215,0,0.442
43216,1,0.565
43217,0,0.0686
43218,1,0.5799
43219,0,0.0004
43220,1,0.7389
43221,1,0.6525
43222,0,0.4467
43223,0,0.0119
43224,0,0.0223
43225,0,0.0799
43226,1,0.533
43227,0,0.4585
43228,0,0.1376
43229,0,0.1406
43230,0,0.0007
43231,1,0.6101
43232,0,0.4476
43233,0,0.1473
43234,0,0.1822
43235,0,0.0042
43236,0,0.0011
43237,0,0.1177
43238,0,0.1139
43239,0,0.0997
43240,0,0.1105
43241,0,0.4203
43242,0,0.1977
43243,1,0.6795
43244,1,0.9371
43245,1,0.5219
43246,0,0.0067
43247,0,0.1895
43248,1,0.7454
43249,1,0.8647
43250,1,0.8151
43251,1,0.5272
43252,1,0.9239
43253,0,0.0566
43254,1,0.8025
43255,1,0.9631
43256,1,0.7275
43257,0,0.0488
43258,1,0.8148
43259,0,0.0032
43260,1,0.9387
43261,0,0.2727
43262,0,0.158
43263,0,0.333
43264,0,0.4199
43265,1,0.6969
43266,1,0.8543
43267,0,0.4425
43268,0,0.0765
43269,0,0.0043
43270,1,0.8415
43271,0,0.0545
43272,0,0.3988
43273,1,0.8858
43274,0,0.0191
43275,0,0.0856
43276,0,0.2577
43277,0,0.386
43278,1,0.9526
43279,1,0.738
43280,0,0.1221
43281,0,0.0284
43282,1,0.5039
43283,1,0.9129
43284,0,0.1127
43285,0,0.1216
43286,1,0.7954
43287,0,0.3605
43288,0,0.0998
43289,1,0.9098
43290,0,0.0012
43291,0,0.0975
43292,0,0.0869
43293,1,0.9056
43294,0,0.2845
43295,1,0.6298
43296,1,0.7695
43297,0,0.3843
43298,0,0.0597
43299,0,0.0047
43300,0,0.161
43301,1,0.5094
43302,0,0.3509
43303,0,0.2465
43304,0,0.1401
43305,0,0.0552
43306,1,0.5981
43307,0,0.0635
43308,1,0.6376
43309,1,0.9713
43310,0,0.2569
43311,0,0.4873
43312,0,0.0933
43313,1,0.72
43314,0,0.2845
43315,1,0.9417
43316,1,0.522
43317,0,0.2959
43318,0,0.09
43319,0,0.3808
43320,1,0.8178
43321,1,0.6859
43322,0,0.2014
43323,1,0.8847
43324,0,0.3122
43325,0,0.3008
43326,0,0.0069
43327,1,0.7928
43328,0,0.3387
43329,0,0.449
43330,0,0.1639
43331,0,0.0225
43332,1,0.9361
43333,0,0.4837
43334,0,0.2037
43335,0,0.0774
43336,0,0.0056
43337,1,0.8076
43338,1,0.5289
43339,0,0.0016
43340,0,0.0683
43341,1,0.9796
43342,1,0.5568
43343,1,0.7847
43344,0,0.2125
43345,0,0.4214
43346,1,0.8014
43347,0,0.4118
43348,1,0.9452
43349,0,0.0653
43350,0,0.067
43351,1,0.8688
43352,1,0.6174
43353,1,0.8167
43354,1,0.9014
43355,1,0.7202
43356,0,1e-04
43357,1,0.8903
43358,0,0.0055
43359,0,0.1168
43360,0,0.1675
43361,0,0.0291
43362,0,0.0402
43363,0,0.0351
43364,0,0.3303
43365,1,0.8392
43366,1,0.7299
43367,1,0.7846
43368,1,0.9511
43369,0,0.1141
43370,1,0.8884
43371,0,0.2875
43372,0,0.2159
43373,1,0.8775
43374,0,0.0751
43375,0,0.0738
43376,0,0.0938
43377,1,0.7367
43378,1,0.7977
43379,0,0.0078
43380,1,0.8901
43381,0,0.1374
43382,0,0.1528
43383,0,0.1125
43384,1,0.7629
43385,0,0.0003
43386,1,0.7605
43387,0,0.0164
43388,1,0.8417
43389,1,0.9697
43390,0,0.0875
43391,0,0.3204
43392,0,0.1582
43393,0,0.3807
43394,0,0.4305
43395,1,0.7076
43396,0,0.1019
43397,0,0.0752
43398,0,0.3773
43399,1,0.9166
43400,0,0.1956
43401,1,0.9746
43402,0,0.0657
43403,0,0.384
43404,0,0.09
43405,0,0.0432
43406,0,0.4775
43407,0,0.2071
43408,1,0.8679
43409,0,0.1698
43410,1,0.6196
43411,1,0.8461
43412,0,0.123
43413,0,0.4257
43414,0,0.1189
43415,0,0.1872
43416,1,0.9092
43417,0,0.056
43418,1,0.8268
43419,1,0.7921
43420,0,0.0872
43421,1,0.8308
43422,1,0.9599
43423,0,0.2255
43424,0,0.0385
43425,0,0.0527
43426,1,0.8837
43427,1,0.9607
43428,1,0.8255
43429,1,0.8735
43430,0,0.0359
43431,1,0.7577
43432,0,0.0002
43433,0,0.2037
43434,1,0.8021
43435,0,0.0002
43436,1,0.8592
43437,0,0.0064
43438,0,0.1087
43439,1,0.7434
43440,0,0.0019
43441,1,0.9544
43442,0,0.0343
43443,1,0.8904
43444,1,0.7669
43445,0,0.2659
43446,1,0.8265
43447,1,0.6036
43448,0,0.2316
43449,0,0.0819
43450,1,0.8303
43451,0,0.0092
43452,0,0.333
43453,1,0.7947
43454,0,0.2439
43455,1,0.8415
43456,0,0.0894
43457,0,0.1566
43458,1,0.7756
43459,0,0.0341
43460,1,0.5664
43461,0,0.1318
43462,0,0.2521
43463,0,0.3124
43464,0,0.4735
43465,0,0.0103
43466,0,0.0925
43467,0,0.1663
43468,0,0.0085
43469,0,0.0673
43470,0,0.0968
43471,0,0.4698
43472,0,0.1847
43473,0,0.4411
43474,0,0.1235
43475,0,0.0236
43476,0,0.2067
43477,0,0.0012
43478,0,0.313
43479,1,0.9129
43480,1,0.9038
43481,0,0.059
43482,1,0.9821
43483,0,0.3998
43484,0,0.0649
43485,0,0.0467
43486,0,0.002
43487,1,0.6305
43488,0,0.3408
43489,1,0.8496
43490,0,0.1291
43491,0,0.1166
43492,0,0.0251
43493,0,0.3191
43494,0,0.0842
43495,0,0.087
43496,1,0.696
43497,1,0.8509
43498,1,0.8678
43499,1,0.5532
43500,1,0.5682
43501,1,0.7344
43502,1,0.7354
43503,0,0.0068
43504,0,0.0886
43505,0,0.1394
43506,1,0.6991
43507,0,0.0034
43508,1,0.9311
